Dia;       Wednesday, 06. July 2022;  Hora de Inicio;    15:52:49
Hora [HH:MM:SS]; Temperatura[Celsius];  Humedad[%];  OK?[I/O]
16:03:35; 28.50; 36.00;  1
16:03:36; 28.50; 36.00;  1
16:03:37; 28.50; 36.00;  1
16:03:38; 28.50; 36.00;  1
16:03:39; 28.50; 36.00;  1
16:03:40; 28.50; 36.00;  1
16:03:41; 28.50; 36.00;  1
16:03:42; 28.50; 36.00;  1
16:03:43; 28.50; 36.00;  1
16:03:44; 28.50; 36.00;  1
16:03:45; 28.50; 36.00;  1
16:03:46; 28.50; 36.00;  1
16:03:47; 28.50; 36.00;  1
16:03:48; 28.50; 36.00;  1
16:03:49; 28.50; 36.00;  1
16:03:50; 28.50; 36.00;  1
16:03:51; 28.50; 36.00;  1
16:03:52; 28.50; 36.00;  1
16:03:53; 28.50; 36.00;  1
16:03:54; 28.50; 36.00;  1
16:03:55; 28.50; 36.00;  1
16:03:56; 28.50; 36.00;  1
16:03:57; 28.50; 36.00;  1
16:03:58; 28.50; 36.00;  1
16:03:59; 28.50; 36.00;  1
16:04:00; 28.50; 36.00;  1
16:04:01; 28.50; 36.00;  1
16:04:02; 28.50; 36.00;  1
16:04:03; 28.50; 36.00;  1
16:04:04; 28.50; 36.00;  1
16:04:05; 28.50; 36.00;  1
16:04:06; 28.50; 36.00;  1
16:04:07; 28.50; 36.00;  1
16:04:08; 28.50; 36.00;  1
16:04:09; 28.50; 36.00;  1
16:04:10; 28.50; 36.00;  1
16:04:11; 28.50; 36.00;  1
16:04:12; 28.50; 36.00;  1
16:04:13; 28.50; 36.00;  1
16:04:14; 28.50; 36.00;  1
16:04:15; 28.50; 36.00;  1
16:04:16; 28.50; 36.00;  1
16:04:17; 28.50; 36.00;  1
16:04:18; 28.50; 36.00;  1
16:04:19; 28.50; 36.00;  1
16:04:20; 28.50; 36.00;  1
16:04:21; 28.50; 36.00;  1
16:04:22; 28.50; 36.00;  1
16:04:23; 28.50; 36.00;  1
16:04:24; 28.50; 36.00;  1
16:04:25; 28.50; 36.00;  1
16:04:26; 28.50; 36.00;  1
16:04:27; 28.50; 36.00;  1
16:04:28; 28.50; 36.00;  1
16:04:29; 28.50; 36.00;  1
16:04:30; 28.50; 36.00;  1
16:04:31; 28.50; 36.00;  1
16:04:32; 28.50; 36.00;  1
16:04:33; 28.50; 36.00;  1
16:04:34; 28.50; 36.00;  1
16:04:35; 28.50; 37.00;  1
16:04:36; 28.50; 37.00;  1
16:04:37; 28.40; 36.00;  1
16:04:38; 28.40; 36.00;  1
16:04:39; 28.50; 36.00;  1
16:04:40; 28.50; 36.00;  1
16:04:41; 28.50; 36.00;  1
16:04:42; 28.50; 36.00;  1
16:04:43; 28.50; 36.00;  1
16:04:44; 28.50; 36.00;  1
16:04:45; 28.50; 36.00;  1
16:04:46; 28.50; 36.00;  1
16:04:47; 28.50; 36.00;  1
16:04:48; 28.50; 36.00;  1
16:04:49; 28.50; 36.00;  1
16:04:50; 28.50; 36.00;  1
16:04:51; 28.50; 36.00;  1
